T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
7749	106	5	13900.	675.	1	9383.	301014	1631	0000000000	0000000000	51	13900.	13900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7750	106	16	12500.	1175.	1	14688.	301014	1632	0000000000	0000000000	51	12500.	12500.	28000160000001	0810485545564F20444520534F4C4F4D4F200000000000000000000000000000000000000000000000000000000000000000
7751	106	15	11600.	505.	1	5858.	301014	1742	0000000000	0000000000	51	11600.	11600.	28000150000001	08084D4F5252494C4C4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
7752	106	72	11200.	940.	1	10528.	301014	1744	0000000000	0000000000	51	11200.	11200.	28000720000001	0810504945524E412045434F4E4F4D4943410000000000000000000000000000000000000000000000000000000000000000
7753	106	70	14700.	920.	1	13524.	301014	1751	0000000000	0000000000	51	14700.	14700.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7754	106	4	13900.	525.	1	7298.	301014	1755	0000000000	0000000000	51	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7755	106	71	12200.	455.	1	5551.	301014	1801	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7756	106	72	11200.	405.	1	4536.	301014	1855	0000000000	0000000000	51	11200.	11200.	28000720000001	0810504945524E412045434F4E4F4D4943410000000000000000000000000000000000000000000000000000000000000000
7757	106	3	20100.	425.	1	8543.	301014	1857	0000000000	0000000000	51	20100.	20100.	28000030000001	080D50554E544120444520414E43410000000000000000000000000000000000000000000000000000000000000000000000
7758	106	3	20100.	150.	1	3015.	301014	1858	0000000000	0000000000	51	20100.	20100.	28000030000001	080D50554E544120444520414E43410000000000000000000000000000000000000000000000000000000000000000000000
7759	106	71	12200.	480.	1	5856.	301014	1913	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7760	106	29	9000.	515.	1	4635.	301014	1924	0000000000	0000000000	51	9000.	9000.	28000290000001	080648494741444F000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7761	106	71	12200.	520.	1	6344.	301014	1927	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7762	106	8	13900.	1565.	1	21754.	301014	1951	0000000000	0000000000	51	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
7763	106	71	12200.	2580.	1	31476.	301014	2001	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7764	106	47	8900.	430.	1	3827.	301014	2010	0000000000	0000000000	51	8900.	8900.	28000470000001	081443484F52495A4F204D4958544F2043415345524F00000000000000000000000000000000000000000000000000000000
7765	106	87	8800.	1085.	1	9548.	311014	1025	0000000000	0000000000	51	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
7766	106	89	6500.	560.	1	3640.	311014	1045	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7767	106	86	5400.	1995.	1	10773.	311014	1049	0000000000	0000000000	51	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
7768	106	87	8800.	950.	1	8360.	311014	1050	0000000000	0000000000	51	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
7769	106	8	13900.	970.	1	13483.	311014	1056	0000000000	0000000000	51	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
7770	106	71	12200.	530.	1	6466.	311014	1100	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7771	106	88	6500.	485.	1	3153.	311014	1107	0000000000	0000000000	51	6500.	6500.	28000880000001	0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7772	106	4	13900.	1000.	1	13900.	311014	1115	0000000000	0000000000	51	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7773	106	72	11200.	505.	1	5656.	311014	1119	0000000000	0000000000	51	11200.	11200.	28000720000001	0810504945524E412045434F4E4F4D4943410000000000000000000000000000000000000000000000000000000000000000
7774	106	71	12200.	535.	1	6527.	311014	1122	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7775	106	89	6500.	975.	1	6338.	311014	1125	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7776	106	89	6500.	980.	1	6370.	311014	1130	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7777	106	89	6500.	720.	1	4680.	311014	1133	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7778	106	87	8800.	2500.	1	22000.	311014	1151	0000000000	0000000000	51	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
7779	106	6	11900.	515.	1	6129.	311014	1206	0000000000	0000000000	51	11900.	11900.	28000060000001	08084D5543484143484F00000000000000000000000000000000000000000000000000000000000000000000000000000000
7780	106	75	6500.	675.	1	4388.	311014	1209	0000000000	0000000000	51	6500.	6500.	28000750000001	0806504150414441000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7781	106	70	12600.	210.	1	2646.	311014	1210	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7782	106	89	6500.	465.	1	3023.	311014	1211	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7783	106	24	8700.	995.	1	8657.	311014	1219	0000000000	0000000000	51	8700.	8700.	28000240000001	08105441504120444520434F5354494C4C410000000000000000000000000000000000000000000000000000000000000000
7784	106	24	8700.	1120.	1	9744.	311014	1220	0000000000	0000000000	51	8700.	8700.	28000240000001	08105441504120444520434F5354494C4C410000000000000000000000000000000000000000000000000000000000000000
7785	106	87	8800.	2350.	1	20680.	311014	1222	0000000000	0000000000	51	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
7786	106	86	5400.	1545.	1	8343.	311014	1223	0000000000	0000000000	51	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
7787	106	29	7700.	485.	1	3735.	311014	1231	0000000000	0000000000	51	7700.	7700.	28000290000001	080648494741444F000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7788	106	86	5400.	1025.	1	5535.	311014	1336	0000000000	0000000000	51	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
7789	106	75	6500.	935.	1	6078.	311014	1336	0000000000	0000000000	51	6500.	6500.	28000750000001	0806504150414441000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7790	106	4	13900.	535.	1	7437.	311014	1336	0000000000	0000000000	51	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7791	106	8	13900.	1005.	1	13970.	311014	1357	0000000000	0000000000	51	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
7792	106	70	12600.	745.	1	9387.	311014	1358	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7793	106	71	12200.	485.	1	5917.	311014	1503	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7794	106	86	5400.	970.	1	5238.	311014	1523	0000000000	0000000000	51	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
7795	106	86	5400.	1025.	1	5535.	311014	1524	0000000000	0000000000	51	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
7796	106	75	6500.	530.	1	3445.	311014	1530	0000000000	0000000000	51	6500.	6500.	28000750000001	0806504150414441000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7797	106	7	13900.	705.	1	9800.	311014	1541	0000000000	0000000000	51	13900.	13900.	28000070000001	080F485545564F20444520414C44414E41000000000000000000000000000000000000000000000000000000000000000000
7798	106	5	11900.	545.	1	6486.	311014	1544	0000000000	0000000000	51	11900.	11900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7799	106	7	13900.	950.	1	13205.	311014	1600	0000000000	0000000000	51	13900.	13900.	28000070000001	080F485545564F20444520414C44414E41000000000000000000000000000000000000000000000000000000000000000000
7800	106	89	6500.	515.	1	3348.	311014	1601	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7801	106	89	6500.	630.	1	4095.	311014	1601	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7802	106	86	5400.	1025.	1	5535.	311014	1602	0000000000	0000000000	51	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
7803	106	88	6500.	635.	1	4128.	311014	1610	0000000000	0000000000	51	6500.	6500.	28000880000001	0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7804	106	87	8800.	1715.	1	15092.	311014	1619	0000000000	0000000000	51	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
7805	106	8	13900.	2990.	1	41561.	311014	1624	0000000000	0000000000	51	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
