idVenta;fecha;pesoVenta;plu_idPlu;puntoVenta_idPuntoVenta
8125;2014-11-09 00:00:00;1025;71;51
8126;2014-11-09 00:00:00;595;86;51
8127;2014-11-09 00:00:00;505;70;51
8128;2014-11-09 00:00:00;440;74;51
8129;2014-11-09 00:00:00;255;78;51
8130;2014-11-09 00:00:00;560;29;51
8131;2014-11-09 00:00:00;345;14;51
8132;2014-11-09 00:00:00;535;74;51
8133;2014-11-09 00:00:00;515;4;51
8134;2014-11-09 00:00:00;455;8;51
8135;2014-11-09 00:00:00;2240;86;51
8136;2014-11-09 00:00:00;1420;3;51
8137;2014-11-09 00:00:00;975;4;51
8138;2014-11-09 00:00:00;520;8;51
8139;2014-11-09 00:00:00;460;72;51
8140;2014-11-09 00:00:00;540;74;51
8141;2014-11-09 00:00:00;635;74;51
8142;2014-11-09 00:00:00;475;70;51
8143;2014-11-09 00:00:00;450;2;51
8144;2014-11-09 00:00:00;805;87;51
8145;2014-11-09 00:00:00;590;32;51
8146;2014-11-09 00:00:00;985;89;51
8147;2014-11-09 00:00:00;490;88;51
8148;2014-11-09 00:00:00;940;72;51
8149;2014-11-09 00:00:00;2260;86;51
8150;2014-11-09 00:00:00;1650;71;51
8151;2014-11-09 00:00:00;550;73;51
8152;2014-11-09 00:00:00;775;87;51
8153;2014-11-09 00:00:00;950;88;51
8154;2014-11-09 00:00:00;730;70;51
8155;2014-11-09 00:00:00;985;4;51
8156;2014-11-09 00:00:00;1540;70;51
8157;2014-11-09 00:00:00;595;6;51
8158;2014-11-09 00:00:00;490;71;51
8159;2014-11-09 00:00:00;490;71;51
8160;2014-11-09 00:00:00;465;4;51
8161;2014-11-09 00:00:00;520;70;51
8162;2014-11-09 00:00:00;980;70;51
8163;2014-11-09 00:00:00;845;71;51
8164;2014-11-09 00:00:00;1755;23;51
8165;2014-11-09 00:00:00;485;72;51
8166;2014-11-10 00:00:00;625;89;51
8167;2014-11-10 00:00:00;1035;89;51
8168;2014-11-10 00:00:00;975;86;51
8169;2014-11-10 00:00:00;1740;87;51
8170;2014-11-10 00:00:00;975;89;51
8171;2014-11-10 00:00:00;535;89;51
8172;2014-11-10 00:00:00;2710;86;51
8173;2014-11-10 00:00:00;1070;86;51
8174;2014-11-10 00:00:00;485;70;51
8175;2014-11-10 00:00:00;510;26;51
8176;2014-11-10 00:00:00;545;78;51
8177;2014-11-10 00:00:00;980;88;51
8178;2014-11-10 00:00:00;480;71;51
8179;2014-11-10 00:00:00;765;75;51
8180;2014-11-10 00:00:00;490;6;51
8181;2014-11-10 00:00:00;505;71;51
8182;2014-11-10 00:00:00;1000;9;51
8183;2014-11-10 00:00:00;435;74;51
8184;2014-11-10 00:00:00;1010;88;51
8185;2014-11-10 00:00:00;995;88;51
8186;2014-11-10 00:00:00;480;74;51
8187;2014-11-10 00:00:00;1455;86;51
8188;2014-11-10 00:00:00;920;86;51
8189;2014-11-10 00:00:00;990;70;51
8190;2014-11-10 00:00:00;615;77;51
8191;2014-11-10 00:00:00;445;4;51
8192;2014-11-10 00:00:00;670;44;51
8193;2014-11-10 00:00:00;670;4;51
8194;2014-11-10 00:00:00;480;71;51
8195;2014-11-10 00:00:00;590;73;51
8196;2014-11-10 00:00:00;870;87;51
8197;2014-11-10 00:00:00;1565;86;51
8198;2014-11-10 00:00:00;510;89;51
8199;2014-11-10 00:00:00;745;89;51
8200;2014-11-10 00:00:00;2010;86;51
8201;2014-11-10 00:00:00;635;87;51
8202;2014-11-10 00:00:00;465;89;51
8203;2014-11-10 00:00:00;715;18;51
8204;2014-11-10 00:00:00;245;70;51
8205;2014-11-10 00:00:00;630;5;51
8206;2014-11-10 00:00:00;520;23;51
8207;2014-11-10 00:00:00;515;15;51
8208;2014-11-10 00:00:00;460;74;51
8209;2014-11-10 00:00:00;1090;71;51
8210;2014-11-10 00:00:00;2190;86;51
8211;2014-11-10 00:00:00;495;88;51
8212;2014-11-10 00:00:00;500;4;51
8213;2014-11-10 00:00:00;700;74;51
8214;2014-11-10 00:00:00;1005;72;51
8215;2014-11-10 00:00:00;490;4;51
8216;2014-11-10 00:00:00;530;77;51
8217;2014-11-10 00:00:00;455;4;51
8218;2014-11-10 00:00:00;500;88;51
8219;2014-11-10 00:00:00;470;88;51
8220;2014-11-10 00:00:00;1015;86;51
8221;2014-11-10 00:00:00;1060;88;51
8222;2014-11-10 00:00:00;970;71;51
8223;2014-11-10 00:00:00;1445;87;51
8224;2014-11-10 00:00:00;770;18;51
8225;2014-11-10 00:00:00;550;7;51
8226;2014-11-10 00:00:00;1025;7;51
8227;2014-11-10 00:00:00;570;78;51
8228;2014-11-10 00:00:00;485;77;51
8229;2014-11-10 00:00:00;1100;73;51
8230;2014-11-10 00:00:00;515;7;51
8231;2014-11-10 00:00:00;460;88;51
8232;2014-11-10 00:00:00;410;48;51
8233;2014-11-10 00:00:00;495;70;51
8234;2014-11-10 00:00:00;705;4;51
8235;2014-11-10 00:00:00;755;70;51
8236;2014-11-10 00:00:00;550;86;51
8237;2014-11-10 00:00:00;1565;86;51
8238;2014-11-10 00:00:00;1420;71;51
8239;2014-11-10 00:00:00;645;78;51
8240;2014-11-10 00:00:00;820;71;51
8241;2014-11-10 00:00:00;735;70;51
8242;2014-11-10 00:00:00;815;74;51
8243;2014-11-10 00:00:00;560;73;51
8244;2014-11-10 00:00:00;515;78;51
8245;2014-11-10 00:00:00;490;71;51
8246;2014-11-10 00:00:00;525;8;51
8247;2014-11-10 00:00:00;470;74;51
8248;2014-11-10 00:00:00;540;5;51
8249;2014-11-10 00:00:00;580;71;51
8250;2014-11-10 00:00:00;980;86;51
8251;2014-11-10 00:00:00;750;87;51
8252;2014-11-10 00:00:00;490;70;51
8253;2014-11-10 00:00:00;615;4;51
8254;2014-11-10 00:00:00;480;70;51
8255;2014-11-10 00:00:00;955;73;51
8256;2014-11-10 00:00:00;1590;4;51
8257;2014-11-10 00:00:00;905;74;51
8258;2014-11-10 00:00:00;1520;77;51
8259;2014-11-10 00:00:00;825;48;51
8260;2014-11-10 00:00:00;505;4;51
8261;2014-11-10 00:00:00;505;2;51
8262;2014-11-10 00:00:00;550;74;51
8263;2014-11-10 00:00:00;495;67;51
8264;2014-11-10 00:00:00;515;71;51
8265;2014-11-10 00:00:00;595;73;51
8266;2014-11-10 00:00:00;525;4;51
8267;2014-11-10 00:00:00;465;4;51
8268;2014-11-10 00:00:00;465;71;51
8269;2014-11-10 00:00:00;585;86;51
8270;2014-11-10 00:00:00;515;88;51
8271;2014-11-10 00:00:00;490;72;51
8272;2014-11-10 00:00:00;540;71;51
8273;2014-11-10 00:00:00;520;77;51
8274;2014-11-10 00:00:00;435;11;51
8275;2014-11-10 00:00:00;1775;87;51
8276;2014-11-10 00:00:00;805;71;51
8277;2014-11-10 00:00:00;1010;71;51
8278;2014-11-10 00:00:00;770;87;51
